artist,painting_id,top_color_1,top_color_2,top_color_3,color_value_1,color_value_2,color_value_3
Vincent_van_Gogh,Vincent_van_Gogh_415.jpg,#d5dad9,#4b4b47,#90908e,397917,121152,267363
Vincent_van_Gogh,Vincent_van_Gogh_239.jpg,#375f7a,#5e92b5,#1d272c,354074,323565,375961
Vincent_van_Gogh,Vincent_van_Gogh_318.jpg,#9ba4a8,#495156,#4693ca,1110596,455810,845594
Vincent_van_Gogh,Vincent_van_Gogh_254.jpg,#b9cfce,#37699b,#131d3a,327135,496862,457027
Vincent_van_Gogh,Vincent_van_Gogh_127.jpg,#4a8fc5,#96d2e8,#2a6195,444654,468469,274717
Vincent_van_Gogh,Vincent_van_Gogh_627.jpg,#222f37,#5da4c7,#3d6e90,434699,159203,240658
Vincent_van_Gogh,Vincent_van_Gogh_747.jpg,#a3b6b9,#271f27,#62707b,569326,579208,405546
Vincent_van_Gogh,Vincent_van_Gogh_536.jpg,#2f3c41,#b2bdc3,#6f8089,245871,241955,247174
Vincent_van_Gogh,Vincent_van_Gogh_175.jpg,#293d33,#121615,#4f7a78,245397,883530,61473
Vincent_van_Gogh,Vincent_van_Gogh_832.jpg,#589c8f,#8bcece,#2b4025,400589,351389,264068
Vincent_van_Gogh,Vincent_van_Gogh_419.jpg,#5787a9,#3c3e4a,#abc8da,140902,384599,112451
Vincent_van_Gogh,Vincent_van_Gogh_584.jpg,#81c1ce,#2d362e,#657e76,456174,413014,466108
Vincent_van_Gogh,Vincent_van_Gogh_271.jpg,#2a3034,#54738c,#e2decb,1157782,1236019,770199
Vincent_van_Gogh,Vincent_van_Gogh_189.jpg,#c9eaf7,#556e70,#9abccb,428864,121165,37747
Vincent_van_Gogh,Vincent_van_Gogh_771.jpg,#5c7c95,#273c50,#98bfd6,362773,462373,407750
Vincent_van_Gogh,Vincent_van_Gogh_740.jpg,#08425e,#34b5d0,#1a889e,441689,424439,142512
Vincent_van_Gogh,Vincent_van_Gogh_79.jpg,#389dba,#94cfdb,#13637a,76961,218396,117671
Vincent_van_Gogh,Vincent_van_Gogh_66.jpg,#82bdda,#1b2a39,#57708f,660780,361405,268055
Vincent_van_Gogh,Vincent_van_Gogh_777.jpg,#375665,#3ba1ba,#282d34,513651,556484,142025
Vincent_van_Gogh,Vincent_van_Gogh_588.jpg,#2e4237,#b8d2d0,#779d9d,250925,698644,335551
Vincent_van_Gogh,Vincent_van_Gogh_540.jpg,#3685bb,#333e58,#9b7c93,255654,238693,312053
Vincent_van_Gogh,Vincent_van_Gogh_638.jpg,#2d5c69,#439d9b,#0c1935,435272,568510,259834
Vincent_van_Gogh,Vincent_van_Gogh_622.jpg,#6c98b8,#0d191d,#3b5668,374668,390989,496935
Vincent_van_Gogh,Vincent_van_Gogh_83.jpg,#4f9fc3,#296381,#adbd93,643598,538673,978329
Vincent_van_Gogh,Vincent_van_Gogh_371.jpg,#a5cac0,#3a5fc4,#484540,418177,334606,126833
Vincent_van_Gogh,Vincent_van_Gogh_533.jpg,#29384a,#abceee,#6a9ac3,656069,344049,78922
Vincent_van_Gogh,Vincent_van_Gogh_317.jpg,#94936f,#acd0c6,#4b5434,514456,564144,223160
Vincent_van_Gogh,Vincent_van_Gogh_393.jpg,#82b0c1,#383a32,#50647b,152694,394288,301914
Vincent_van_Gogh,Vincent_van_Gogh_739.jpg,#8d96a4,#474f5c,#c9d5e1,295631,144894,175923
Vincent_van_Gogh,Vincent_van_Gogh_294.jpg,#908f90,#d9d9dc,#3d3c3d,325381,208307,195229
Vincent_van_Gogh,Vincent_van_Gogh_721.jpg,#adb5b7,#343b42,#7e868b,474838,220871,81507
